message_id,action,message_type,reason,confidence,evidence_message_ids
msg_012,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0079;message_0247;message_0016
msg_064,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0087;message_0183;message_0201
msg_103,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0065;message_0382;message_0224
msg_031,notify,personal,The sender makes a direct request for action or response that appears important.,0.84,message_0117;message_0249;message_0118
msg_057,notify,personal,The sender makes a direct request for action or response that appears important.,0.84,message_0059;message_0169;message_0003
msg_087,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0203;message_0204;message_0223
msg_067,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0068;message_0098;message_0029
msg_039,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0364;message_0051;message_0255
msg_082,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0218;message_0397;message_0380
msg_066,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0257;message_0402;message_0336
msg_049,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0154;message_0291;message_0153
msg_015,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0023;message_0045;message_0085
msg_051,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0257;message_0402;message_0337
msg_097,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0366;message_0359;message_0054
msg_089,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0299;message_0396;message_0036
msg_053,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0161;message_0253;message_0411
msg_059,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0053;message_0023;message_0045
msg_024,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0257;message_0402;message_0337
msg_072,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0085;message_0199;message_0023
msg_036,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0283;message_0127;message_0281
msg_076,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0208;message_0207;message_0159
msg_055,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0166;message_0367;message_0165
msg_102,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0230;message_0371;message_0059
msg_080,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0130;message_0142;message_0180
msg_093,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0347;message_0348;message_0349
msg_034,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0013;message_0039;message_0077
msg_035,notify,urgent,The message describes an emergency or urgent help request.,0.93,message_0281;message_0273;message_0302
msg_101,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0229;message_0370;message_0268
msg_041,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0287;message_0308;message_0329
msg_011,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0077;message_0123;message_0171
msg_110,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0238;message_0320;message_0047
msg_095,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0087;message_0183;message_0201
msg_074,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0301;message_0203;message_0204
msg_073,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0023;message_0045;message_0087
msg_054,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0389;message_0163;message_0164
msg_068,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0191;message_0192;message_0010
msg_100,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0362;message_0228;message_0117
msg_062,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0043;message_0289;message_0129
msg_096,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0353;message_0354;message_0095
msg_043,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0067;message_0097;message_0001
msg_077,notify,personal,The sender makes a direct request for action or response that appears important.,0.84,message_0051;message_0403;message_0364
msg_081,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0217;message_0002;message_0037
msg_025,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0004;message_0239;message_0031
msg_084,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0220;message_0048;message_0163
msg_022,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0099;message_0151;message_0149
